tipo_vivienda;niveles;tipo_contrato;estado;num_habitaciones;num_banos;area_construida;parqueadero;sector;estrato;precio
Casa;3;Venta;Nuevo;4;2;225;No;Norte;3;260000000
Casa;2;Venta;Nuevo;2;2;180;Si;Norte;3;260000000
Casa;2;Venta;Nuevo;3;2;161;Si;Centro;3;210000000
Casa;2;Venta;Casi nuevo;2;1;151;Si;Centro;3;200000000
Casa;2;Venta;Casi nuevo;3;2;177;No;Norte;3;240000000
Casa;2;Venta;Nuevo;1;2;236;No;Sur;2;160000000
Casa;2;Venta;Nuevo;4;1;249;No;Norte;4;260000000
Casa;2;Venta;Casi nuevo;4;1;197;No;Norte;4;240000000
Casa;3;Venta;Nuevo;1;3;175;Si;Centro;3;210000000
Casa;2;Venta;Nuevo;2;3;176;No;Sur;2;160000000
Casa;2;Venta;Casi nuevo;3;3;238;No;Sur;3;150000000
Casa;2;Venta;Casi nuevo;3;1;259;No;Centro;3;200000000
Casa;1;Venta;Casi nuevo;4;2;237;Si;Sur;3;150000000
Casa;3;Venta;Nuevo;4;3;246;Si;Sur;4;160000000
Casa;1;Venta;Nuevo;2;1;182;No;Norte;6;250000000
Casa;2;Venta;Casi nuevo;4;2;258;Si;Sur;4;160000000
Casa;1;Venta;Casi nuevo;3;3;240;No;Norte;4;240000000
Casa;3;Venta;Nuevo;3;2;238;Si;Sur;3;170000000
Casa;3;Venta;Casi nuevo;4;1;197;No;Norte;6;240000000
Casa;1;Venta;Nuevo;2;2;221;Si;Sur;3;160000000
Casa;1;Venta;Casi nuevo;4;1;251;No;Sur;4;140000000
Casa;1;Venta;Casi nuevo;2;1;237;No;Norte;4;240000000
Casa;2;Venta;Casi nuevo;3;3;198;Si;Sur;2;150000000
Casa;2;Venta;Nuevo;1;2;199;No;Norte;3;250000000
Casa;2;Venta;Nuevo;1;2;219;No;Norte;6;250000000
Casa;3;Venta;Casi nuevo;1;2;201;Si;Sur;4;150000000
Casa;2;Venta;Casi nuevo;1;1;169;No;Norte;4;230000000
Casa;3;Venta;Nuevo;2;2;280;No;Centro;3;210000000
Casa;3;Venta;Casi nuevo;1;1;189;No;Sur;4;130000000
Casa;3;Venta;Casi nuevo;2;3;197;Si;Centro;4;200000000
Casa;2;Venta;Nuevo;3;3;231;Si;Sur;3;170000000
Casa;1;Venta;Nuevo;3;3;276;Si;Norte;6;270000000
Casa;2;Venta;Casi nuevo;1;2;275;Si;Norte;3;260000000
Casa;2;Venta;Casi nuevo;2;3;206;No;Norte;4;250000000
Casa;3;Venta;Casi nuevo;1;2;183;No;Norte;4;240000000
Casa;2;Venta;Casi nuevo;4;3;184;No;Norte;5;240000000
Casa;2;Venta;Nuevo;3;1;245;Si;Sur;3;170000000
Casa;1;Venta;Nuevo;3;3;193;Si;Norte;4;260000000
Casa;2;Venta;Casi nuevo;1;1;206;No;Norte;5;240000000
Casa;1;Venta;Casi nuevo;1;3;267;Si;Sur;3;140000000
Casa;3;Venta;Nuevo;2;3;199;Si;Sur;3;160000000
Casa;3;Venta;Casi nuevo;2;1;183;No;Centro;3;190000000
Casa;2;Venta;Casi nuevo;4;1;252;Si;Sur;4;160000000
Casa;2;Venta;Nuevo;2;3;197;Si;Centro;3;210000000
Casa;2;Venta;Casi nuevo;2;1;245;Si;Sur;1;150000000
Casa;3;Venta;Casi nuevo;3;3;225;Si;Centro;3;210000000
Casa;1;Venta;Casi nuevo;3;2;202;No;Centro;3;190000000
Casa;2;Venta;Casi nuevo;2;1;268;No;Centro;3;200000000
Casa;3;Venta;Nuevo;4;3;209;No;Centro;4;200000000
Casa;1;Venta;Casi nuevo;1;1;234;No;Sur;1;140000000
Casa;1;Venta;Casi nuevo;3;2;243;Si;Centro;4;200000000
Casa;3;Venta;Nuevo;3;1;215;Si;Centro;3;210000000
