tipo_vivienda;niveles;tipo_contrato;area_construida;estado;num_habitaciones;num_banos;parqueadero;sector;estrato;precio
Casa;2;Arriendo;272;Casi nuevo;4;2;No;Norte;4;4980000
Casa;1;Arriendo;151;Nuevo;3;2;No;Centro;3;2060000
Casa;2;Arriendo;205;Nuevo;4;2;Si;Sur;3;2910000
Casa;2;Arriendo;289;Nuevo;4;2;Si;Norte;6;8200000
Casa;3;Arriendo;196;Casi nuevo;4;3;No;Centro;4;3250000
Casa;2;Arriendo;188;Nuevo;4;2;No;Sur;4;2200000
Casa;3;Arriendo;205;Casi nuevo;4;3;Si;Sur;4;2930000
Casa;3;Arriendo;202;Nuevo;4;3;No;Centro;4;3380000
Casa;1;Arriendo;205;Nuevo;3;2;Si;Sur;2;2310000
Casa;1;Arriendo;89;Casi nuevo;3;2;No;Sur;4;1240000
Casa;1;Arriendo;281;Nuevo;3;2;No;Norte;4;4970000
Casa;3;Arriendo;275;Nuevo;4;3;Si;Centro;4;5710000
Casa;2;Arriendo;141;Nuevo;4;2;No;Norte;6;4500000
Casa;3;Arriendo;231;Nuevo;4;3;No;Norte;4;3960000
Casa;1;Arriendo;231;Nuevo;3;2;No;Sur;2;2860000
Casa;2;Arriendo;223;Nuevo;4;2;No;Sur;1;3090000
Casa;1;Arriendo;168;Casi nuevo;3;2;No;Centro;4;2430000
Casa;1;Arriendo;280;Nuevo;3;2;Si;Norte;3;5010000
Casa;1;Arriendo;106;Casi nuevo;3;2;Si;Norte;4;1750000
Casa;1;Arriendo;91;Nuevo;3;2;No;Norte;5;4110000
Casa;1;Arriendo;240;Casi nuevo;3;2;No;Sur;3;3440000
Casa;3;Arriendo;55;Nuevo;5;3;Si;Sur;1;1980000
Casa;3;Arriendo;50;Casi nuevo;5;3;No;Sur;1;1490000
Casa;1;Arriendo;221;Nuevo;3;2;No;Sur;2;2820000
Casa;3;Arriendo;113;Casi nuevo;4;3;Si;Norte;4;2330000
Casa;3;Arriendo;283;Nuevo;4;3;Si;Centro;4;5960000
Casa;1;Arriendo;229;Nuevo;3;2;No;Sur;4;2870000
Casa;2;Arriendo;112;Casi nuevo;4;2;Si;Norte;3;2200000
Casa;1;Arriendo;206;Casi nuevo;3;2;Si;Norte;3;3020000
Casa;1;Arriendo;114;Casi nuevo;3;2;No;Norte;3;1450000
Casa;3;Arriendo;240;Casi nuevo;4;3;Si;Centro;4;4430000
Casa;1;Arriendo;110;Nuevo;3;2;No;Norte;3;1620000
Casa;1;Arriendo;235;Casi nuevo;3;2;Si;Norte;5;6170000
Casa;3;Arriendo;85;Casi nuevo;4;3;No;Centro;3;2000000
Casa;1;Arriendo;72;Casi nuevo;3;2;No;Norte;4;1650000
Casa;3;Arriendo;118;Nuevo;4;3;Si;Sur;1;1670000
Casa;2;Arriendo;155;Nuevo;4;2;Si;Centro;3;2940000
Casa;2;Arriendo;129;Nuevo;4;2;Si;Norte;3;2350000
Casa;2;Arriendo;100;Nuevo;4;2;Si;Norte;5;4560000
Casa;3;Arriendo;114;Casi nuevo;4;3;No;Sur;3;1630000
Casa;3;Arriendo;126;Nuevo;4;3;Si;Sur;3;2210000
Casa;1;Arriendo;99;Casi nuevo;3;2;Si;Norte;4;1820000
Casa;3;Arriendo;170;Casi nuevo;4;3;No;Norte;4;2400000
Casa;1;Arriendo;177;Casi nuevo;3;2;Si;Centro;3;2480000
Casa;3;Arriendo;285;Nuevo;4;3;Si;Norte;4;5600000
Casa;3;Arriendo;113;Nuevo;4;3;Si;Sur;3;1850000
Casa;1;Arriendo;76;Casi nuevo;3;2;No;Sur;3;1250000
Casa;3;Arriendo;229;Nuevo;4;3;No;Norte;3;3930000
Casa;3;Arriendo;76;Nuevo;4;3;No;Centro;3;2430000
Casa;2;Arriendo;142;Nuevo;4;2;Si;Sur;3;2210000
Casa;3;Arriendo;128;Nuevo;4;3;Si;Centro;3;2710000
Casa;2;Arriendo;157;Nuevo;4;2;No;Centro;4;2680000
Casa;1;Arriendo;279;Casi nuevo;3;2;Si;Sur;3;4470000
Casa;3;Arriendo;131;Casi nuevo;4;3;No;Sur;1;1720000
Casa;1;Arriendo;229;Nuevo;3;2;No;Sur;2;3000000
Casa;3;Arriendo;197;Casi nuevo;4;3;Si;Sur;1;2420000
Casa;2;Arriendo;88;Nuevo;4;2;No;Sur;1;1460000
Casa;3;Arriendo;203;Nuevo;4;3;Si;Sur;4;2810000
Casa;2;Arriendo;66;Nuevo;4;2;Si;Norte;4;2230000
Casa;3;Arriendo;137;Casi nuevo;4;3;Si;Norte;4;2310000
Casa;3;Arriendo;210;Nuevo;4;3;No;Centro;4;3680000
Casa;3;Arriendo;161;Casi nuevo;4;3;No;Sur;4;2080000
